_lat,_lon
40.7244362031,-73.9794111439
40.724449341,-73.9794384982
40.7244664982,-73.9794606089
40.7244813127,-73.979478875
40.7244954706,-73.9794986135
40.7245067729,-73.9795174283
40.7245174193,-73.9795340804
40.7245274671,-73.9795498469
40.7245361925,-73.9795642347
40.7245436229,-73.9795790102
40.7245509236,-73.9795944744
40.7245576912,-73.9796110717
40.7245628667,-73.9796278954
40.7245670132,-73.9796445852
40.7245704788,-73.9796608438
40.724574052,-73.979677044
40.7245788262,-73.9796936656
40.7245834197,-73.979711077
40.7245882351,-73.97972886
40.724592317,-73.9797466931
40.7245950929,-73.9797647952
40.7245978203,-73.9797832468
40.7246004825,-73.9798025057
40.7246020746,-73.9798213029
40.7246039139,-73.979840279
40.7246056261,-73.9798612501
40.7246072423,-73.9798821866
40.7246102526,-73.9799005972
40.7246152081,-73.979916462
40.724621138,-73.9799321329
40.7246286509,-73.9799485193
40.7246369582,-73.9799646735
40.7246457841,-73.9799814545
40.7246556563,-73.9799955224
40.7246656016,-73.9800045788
40.7246746169,-73.980010648
40.7246816868,-73.9800171794
40.7246870371,-73.9800278061
40.7246915112,-73.9800420672
40.7246957918,-73.9800581314
40.72469675,-73.9800648289
40.7246986964,-73.9800709518
40.7247061646,-73.9800848768
40.7247148147,-73.9800974955
40.7247228255,-73.9801094683
40.7247292334,-73.9801224695
40.7247348066,-73.9801371201
40.7247401234,-73.9801526438
40.7247460116,-73.9801681924
40.7247512276,-73.9801845573
40.7247570681,-73.9802013312
40.7247634203,-73.9802174873
40.7247703286,-73.9802324446
40.7247786693,-73.9802462189
40.7247862931,-73.980259818
40.724792497,-73.9802732529
40.7247973641,-73.9802866395
40.7248016752,-73.9803021111
40.7248059174,-73.9803186526
40.7248103658,-73.9803343653
40.7248160372,-73.9803499767
40.7248218617,-73.9803636649
40.7248270157,-73.9803752838
40.7248319856,-73.9803867299
40.7248371443,-73.9803997462
40.7248417416,-73.9804152544
40.7248464019,-73.9804321234
40.7248512556,-73.9804480401
40.7248566243,-73.9804621093
40.7248627963,-73.9804737177
40.7248694991,-73.9804857023
40.7248762915,-73.9804992653
40.7248819697,-73.9805135567
40.7248875203,-73.9805278944
40.7248924524,-73.9805434375
40.7248968556,-73.9805573496
40.7249008757,-73.9805692119
40.7249057193,-73.9805794415
40.7249114694,-73.9805900337
40.7249177044,-73.9806009896
40.7249245363,-73.9806128174
40.7249321521,-73.9806250541
40.7249401199,-73.9806383382
40.7249481245,-73.9806526452
40.7249557332,-73.9806686433
40.7249634573,-73.9806861548
40.724972188,-73.9807036286
40.7249814666,-73.9807207375
40.7249901683,-73.9807372664
40.7249985034,-73.9807543738
40.7250048012,-73.9807735101
40.7250078971,-73.9807935892
40.7250075514,-73.9808125284
40.7250052197,-73.9808306281
40.7250016591,-73.9808478614
40.7249976582,-73.9808653543
40.7249939099,-73.9808844053
40.7249905677,-73.9809044658
40.7249885722,-73.9809248789
40.7249873141,-73.9809448787
40.7249874393,-73.9809639872
40.7249882022,-73.9809851952
40.7249882248,-73.9810080611
40.7249879502,-73.9810309661
40.7249880459,-73.9810529067
40.724988872,-73.9810733921
40.7249894879,-73.981092118
40.7249897659,-73.9811074544
40.7249903709,-73.9811193217
40.7249913581,-73.9811282771
40.7250282031,-73.9811505972
40.7250266593,-73.9811457125
40.7250281764,-73.9811482414
40.7250311656,-73.9811538037
40.7250354632,-73.9811622505
40.7250407064,-73.9811729755
40.7250465216,-73.981185784
40.7250521641,-73.9811997705
40.7250566541,-73.9812145914
40.7250593019,-73.9812281585
40.7250612831,-73.9812406983
40.7250644497,-73.9812538785
40.7250692847,-73.9812684733
40.7250739407,-73.9812834156
40.72507796,-73.9812985711
40.7250813984,-73.98131475
40.7250846589,-73.9813307041
40.7250859418,-73.9813467224
40.7250860548,-73.981361586
40.7250845249,-73.9813741082
40.7250825076,-73.9813854834
40.7250842152,-73.9813998337
40.7250915256,-73.9814164105
40.7250975635,-73.9814352909
40.7250994853,-73.9814549368
40.7250950153,-73.9814738554
40.7250877829,-73.9814914045
40.7250828263,-73.9815064168
40.7250811316,-73.9815202855
40.7250821338,-73.981532388
40.7250855087,-73.9815423598
40.7250917652,-73.981552302
40.7251002111,-73.9815637892
40.7251060063,-73.9815758997
40.7251079267,-73.9815888935
40.7251070601,-73.9816035542
40.7251098461,-73.98161892
40.7251173713,-73.981632846
40.7251283553,-73.9816455533
40.7251411976,-73.9816573712
40.7251562191,-73.9816689905
40.725174697,-73.9816798621
40.7251947252,-73.9816908917
40.7252150069,-73.9817024759
40.7252335167,-73.9817148172
40.7252496395,-73.9817282168
40.7252637186,-73.9817430052
40.7252768622,-73.9817581534
40.7252891313,-73.9817728274
40.7253007224,-73.9817867926
40.7253109675,-73.9818004225
40.7253190389,-73.9818130496
40.7253273901,-73.9818235842
40.7253353582,-73.9818334248
40.7253440955,-73.9818430884
40.7253546155,-73.9818528845
40.7253649762,-73.9818637664
40.7253742313,-73.9818761521
40.7253829644,-73.981890138
40.7253912503,-73.981905275
40.7253973754,-73.9819217657
40.7254007157,-73.9819396087
40.7254035582,-73.9819568373
40.7254069787,-73.9819732158
40.7254112308,-73.981990766
40.7254169356,-73.9820071418
40.7254194125,-73.9820229122
40.7254190882,-73.9820362388
40.7254150407,-73.9820460088
40.7254097068,-73.9820551257
40.7254038221,-73.9820646619
40.7253983869,-73.9820753945
40.7253950633,-73.9820844995
40.7253943392,-73.9820939083
40.7253971977,-73.98210493
40.7254032381,-73.9821183394
40.7254130398,-73.9821336047
40.7254278309,-73.9821488003
40.7254442622,-73.9821627141
40.725459549,-73.982176023
40.7254711587,-73.9821909463
40.7254784008,-73.9822070635
40.7254841654,-73.9822236454
40.725488385,-73.9822411263
40.7254927933,-73.9822565754
40.7254978305,-73.9822686117
40.7255056737,-73.9822787996
40.7255156853,-73.9822880462
40.7255262634,-73.9822968128
40.7255361457,-73.9823063342
40.7255448245,-73.9823171853
40.7255494718,-73.9823304905
40.725550566,-73.9823445503
40.72554761,-73.9823556954
40.7255430256,-73.982365164
40.7255387842,-73.9823741368
40.7255371148,-73.98238523
40.7255376502,-73.9823976434
40.7255402521,-73.9824113064
40.7255455141,-73.9824266815
40.7255528324,-73.9824429166
40.7255604509,-73.9824596205
40.7255675732,-73.9824748292
40.7255753879,-73.9824883881
40.7255842233,-73.9825013502
40.7255941042,-73.9825162235
40.7256046082,-73.9825353917
40.7256163039,-73.9825562171
40.7256285815,-73.9825755654
40.7256402347,-73.9825922793
40.7256509556,-73.9826068728
40.7256589406,-73.9826202152
40.725664632,-73.9826344069
40.7256689896,-73.9826488904
40.7256730499,-73.9826627153
40.7256754908,-73.9826773403
40.7256780728,-73.9826920476
40.7256821989,-73.9827062098
40.7256877017,-73.9827208473
40.7256939326,-73.9827357964
40.7257006788,-73.9827499847
40.7257072059,-73.9827643209
40.7257140357,-73.9827797935
40.7257209298,-73.9827962185
40.7257281466,-73.9828125239
40.725734902,-73.9828272937
40.7257413196,-73.9828400267
40.7257472944,-73.9828500187
40.7257519226,-73.9828584898
40.7257549245,-73.9828680728
40.7257580653,-73.9828798605
40.7257609515,-73.9828945307
40.7257628446,-73.982912982
40.7257637292,-73.9829327497
40.7257636398,-73.9829506691
40.7257614856,-73.9829657557
40.7257605958,-73.9829803655
40.7257623667,-73.9829944174
40.7257685161,-73.9830072564
40.7257779539,-73.9830209507
40.7257896638,-73.9830359875
40.7258004148,-73.9830524707
40.7258110481,-73.9830700345
40.7258210072,-73.9830886125
40.7258301138,-73.9831074058
40.7258377506,-73.9831259311
40.7258435533,-73.9831445708
40.725847951,-73.9831625769
40.7258518747,-73.9831788407
40.7258562779,-73.98319487
40.7258613093,-73.98321142
40.7258672336,-73.9832275028
40.7258737579,-73.9832433284
40.7258815018,-73.9832583278
40.7258897362,-73.9832728803
40.7258973287,-73.9832866267
40.7259043524,-73.9832992011
40.7259108302,-73.9833116247
40.7259178456,-73.9833230922
40.7259280697,-73.9833328223
40.7259403519,-73.9833421989
40.7259525597,-73.9833512116
40.725963801,-73.9833616464
40.7259733815,-73.9833736989
40.7259806259,-73.9833880132
40.7259861355,-73.9834028072
40.7259891486,-73.9834174156
40.7259902183,-73.9834296601
40.7259894889,-73.9834380889
40.7259805813,-73.9834418413
40.725979036,-73.9834380536
40.7259774407,-73.9834393503
40.7259751976,-73.9834416636
40.7259693619,-73.9834464802
40.7259688227,-73.9834528587
40.7259709045,-73.9834607438
40.7259756381,-73.9834713972
40.7259828837,-73.9834861781
40.7259911946,-73.9835015672
40.7260007892,-73.9835174767
40.7260112637,-73.9835345141
40.7260214625,-73.9835518811
40.7260312559,-73.9835706361
40.726040638,-73.9835904719
40.7260492824,-73.9836095897
40.7260574141,-73.9836266809
40.7260661449,-73.9836425523
40.7260760197,-73.9836578825
40.7260861443,-73.9836730693
40.7260957324,-73.9836882312
40.7261047341,-73.9837036789
40.7261128115,-73.9837178302
40.7261200067,-73.9837320001
40.7261260433,-73.9837462166
40.7261307575,-73.9837603564
40.7261354241,-73.9837755726
40.7261408488,-73.9837927723
40.7261469006,-73.9838109427
40.7261534456,-73.9838289389
40.7261603308,-73.9838465264
40.7261680751,-73.9838643153
40.7261764387,-73.9838819981
40.7261846994,-73.9839000537
40.726191803,-73.9839176533
40.7261968885,-73.9839351882
40.7262007266,-73.9839540097
40.7262046035,-73.9839725015
40.726208926,-73.9839908283
40.7262151488,-73.9840092159
40.7262249324,-73.9840266209
40.7262369083,-73.9840432577
40.7262498632,-73.9840595652
40.7262623909,-73.984075952
40.726273872,-73.9840928992
40.7262844684,-73.9841096243
40.7262944609,-73.9841257147
40.7263035934,-73.9841412601
40.7263116166,-73.9841567531
40.7263200508,-73.9841715352
40.7263288428,-73.9841852226
40.7263371822,-73.9841986659
40.7263449472,-73.9842138188
40.7263519078,-73.9842273955
40.726357579,-73.9842362673
40.7263526454,-73.9842264222
40.7263073794,-73.9841654139
40.7263127874,-73.9841928671
40.7262859094,-73.9841302206
40.7263088876,-73.9841941552
40.72630826,-73.984221236
40.7262736373,-73.9841412769
40.7262806615,-73.9841418736
40.7262869154,-73.984150082
40.7262873238,-73.984138559
40.7262746105,-73.9841100496
40.7263367468,-73.9842006787
40.7263403578,-73.9842191666
40.7263507154,-73.9842194249
40.7263554498,-73.9842228041
40.7263602687,-73.9842272808
40.7263667022,-73.9842323857
40.7263770689,-73.9842356797
40.7263836444,-73.9842341825
40.726387393,-73.9842308916
40.726385411,-73.9842318074
40.7263829612,-73.9842339478
40.7263783115,-73.9842362949
40.7263552973,-73.9842159642
40.7263491518,-73.9842078369
40.7263431645,-73.9842008917
40.726337949,-73.9841944888
40.7263310825,-73.9841803317
40.7263327287,-73.9841808711
40.7263332338,-73.9841809461
40.726335043,-73.9841808481
40.7263390471,-73.9841817458
40.7263448652,-73.9841843223
40.7263551826,-73.9841902924
40.7263602082,-73.9841926233
40.7263713374,-73.98420625
40.7263752004,-73.9842164767
40.7263777504,-73.9842268203
40.7263791624,-73.9842365846
40.7263808288,-73.9842465121
40.7263870866,-73.9842598888
40.7263919398,-73.9842609833
40.7263966822,-73.9842608859
40.7264021066,-73.9842608264
40.7264088943,-73.9842611321
40.7264174804,-73.9842607604
40.726395682,-73.9842218403
40.7263853123,-73.9842176767
40.7263773365,-73.9842153392
40.7263744493,-73.9842171176
40.7263753256,-73.9842205128
40.7263996373,-73.9842440611
40.7264086958,-73.9842529123
